SellerCity,SellerIsPriv,SellerListSrc,SellerRating,SellerRevCnt,VehCertified,VehColorExt,VehFuel,VehListdays,VehMake,VehMileage,VehModel,VehPriceLabel,VehYear,Vehicle_Trim,Dealer_Listing_Price,0 Owners,1 Owner,2 Owners,3 Owners,4 Owners,Accident(s) Reported,Buyback Protection Eligible,Non-Personal Use Reported,Title Issue(s) Reported,IntColor1,NumCylinders,CylinderSize,HEMI,AWD,4WD,Tricoat,Metallic
other,False,Digital Motorworks (DMi),,16,False,White,E85 Flex Fuel,7.840173611,Jeep,31486.0,Grand Cherokee,Good Deal,2015,Altitude,30998.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),5.0,147,False,Billet Silver,Gasoline,33.93821759,Jeep,12247.0,Grand Cherokee,Good Deal,2018,Summit,39259.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,1
other,False,Jeep Certified Program,5.0,2142,True,Brilliant Black,Gasoline,10.80892361,Jeep,30431.0,Grand Cherokee,Fair Price,2016,High Altitude,35000.0,0,1,0,0,0,0,1,0,0,black,8,,0,0,1,1,0
other,False,HomeNet Automotive,4.0,119,False,Stellar Black,Gasoline,33.70493056,Cadillac,26421.0,XT5,Great Deal,2017,FWD,27750.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,0,0,0,1
other,False,Digital Motorworks (DMi),,2,False,Gray,Gasoline,10.84138889,Jeep,28241.0,Grand Cherokee,Good Deal,2015,Limited,25998.0,0,1,0,0,0,1,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),5.0,292,False,Brilliant Black,Gasoline,136.886713,Jeep,29185.0,Grand Cherokee,Good Deal,2015,Limited,26988.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,1,0
other,False,HomeNet Automotive,5.0,307,True,Stellar Black,Gasoline,42.2281713,Cadillac,24564.0,XT5,Good Deal,2018,Premium Luxury,39995.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,0,0,1
other,False,Digital Motorworks (DMi),5.0,28,False,Bright White,Gasoline,6.484328704,Jeep,12751.0,Grand Cherokee,Good Deal,2018,Limited,33990.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Inventory Command Center,5.0,1776,False,True Blue,Gasoline,24.31197917,Jeep,31864.0,Grand Cherokee,Great Deal,2017,Laredo,25997.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,7094,True,White,Gasoline,157.8505903,Cadillac,7464.0,XT5,Good Deal,2018,Base,35588.0,1,0,0,0,0,1,0,1,1,beige,6,3.6,0,0,0,1,0
other,False,Digital Motorworks (DMi),5.0,287,False,True Blue,Gasoline,5.498449074,Jeep,17529.0,Grand Cherokee,Good Deal,2018,Limited,31490.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Inventory Command Center,,7,False,Black,Gasoline,111.3855208,Cadillac,7501.0,XT5,Great Deal,2017,Base,26495.0,0,1,0,0,0,1,1,0,0,N/A,,3.6,0,0,0,0,0
other,False,Jeep Certified Program,5.0,230,True,Brilliant Black,Gasoline,49.6650463,Jeep,12923.0,Grand Cherokee,Great Deal,2016,Laredo,25500.0,0,1,0,0,0,0,1,0,0,black,6,,0,0,1,1,0
other,False,HomeNet Automotive,4.0,726,False,Granite,Gasoline,34.57913194,Jeep,37151.0,Grand Cherokee,Good Deal,2015,Overland,28130.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),5.0,392,False,Radiant Silver,Gasoline,313.9438426,Cadillac,31793.0,XT5,Good Deal,2017,Luxury,38997.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,1,0,0,1
other,False,Digital Motorworks (DMi),5.0,53,False,White,Gasoline,123.4846644,Jeep,10893.0,Grand Cherokee,Good Deal,2017,Limited,33373.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,1,0,0
other,False,Inventory Command Center,5.0,367,False,Bright White,Gasoline,20.07960648,Jeep,22195.0,Grand Cherokee,Fair Price,2018,Summit,41600.0,0,1,0,0,0,0,1,1,0,black,6,,0,0,1,0,0
other,False,Inventory Command Center,4.0,31,False,Granite,Gasoline,119.4410764,Jeep,40801.0,Grand Cherokee,Great Deal,2015,Limited,25710.0,0,1,0,0,0,1,1,0,0,beige,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),4.0,43,False,other,Gasoline,89.96409722,Jeep,21093.0,Grand Cherokee,Good Deal,2017,Limited,31988.0,0,1,0,0,0,1,1,1,0,beige,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,4.0,726,False,Granite,Gasoline,13.47663194,Jeep,40277.0,Grand Cherokee,Good Deal,2015,Overland,29560.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,0,1,1,1
other,False,HomeNet Automotive,,4,False,Granite,Gasoline,21.48415509,Jeep,49149.0,Grand Cherokee,Fair Price,2017,Limited,27060.0,0,0,1,0,0,0,1,1,0,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),5.0,37,False,Diamond Black,Gasoline,137.5025463,Jeep,24118.0,Grand Cherokee,Good Deal,2017,Altitude,29740.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,4.0,72,False,other,Gasoline,13.96927083,Jeep,38625.0,Grand Cherokee,Good Deal,2015,Limited,25291.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,1
other,False,Inventory Command Center,,5,False,Bright White,Gasoline,138.7121644,Jeep,40084.0,Grand Cherokee,Good Deal,2015,Limited,24900.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,,2,False,Dark Granite,Gasoline,77.31043981,Cadillac,17536.0,XT5,Good Deal,2018,Premium Luxury,35280.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,0,0,1
other,False,Digital Motorworks (DMi),,8,False,Granite,Gasoline,29.83703704,Jeep,33690.0,Grand Cherokee,Good Deal,2017,Laredo,27999.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),5.0,975,False,Granite,E85 Flex Fuel,3.490243056,Jeep,22832.0,Grand Cherokee,Good Deal,2015,Laredo,23890.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),5.0,49,False,Bright White,Gasoline,24.94475694,Jeep,33559.0,Grand Cherokee,Good Deal,2015,Limited,26000.0,0,0,1,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,other,,1,False,other,Unknown,178.0091319,Jeep,34609.0,Grand Cherokee,Great Deal,2017,Laredo,24000.0,1,0,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Inventory Command Center,,0,False,White,Gasoline,227.7698264,Jeep,30624.0,Grand Cherokee,Good Deal,2015,Limited,27190.0,0,1,0,0,0,0,1,0,0,black,6,,0,0,1,0,0
other,False,Inventory Command Center,4.0,578,False,White,Gasoline,19.48111111,Jeep,40591.0,Grand Cherokee,Great Deal,2016,Limited,23988.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,4.0,726,False,Billet Silver,Gasoline,20.42173611,Jeep,48880.0,Grand Cherokee,,2015,Altitude,26730.0,0,0,0,0,0,0,0,0,0,black,6,3.6,0,0,1,0,1
other,False,Inventory Command Center,,0,False,White,Gasoline,74.52465278,Jeep,32117.0,Grand Cherokee,Good Deal,2015,Limited,25999.0,0,1,0,0,0,1,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),5.0,142,True,White,Gasoline,34.21101852,Cadillac,34939.0,XT5,Great Deal,2017,Luxury,34489.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,1,0,1,0
Battle Creek,False,Inventory Command Center,5.0,107,False,Diamond Black,Gasoline,95.77134259,Jeep,12589.0,Grand Cherokee,Good Deal,2017,Limited,31992.0,1,0,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,HomeNet Automotive,3.0,26,False,Bright White,Gasoline,48.53203704,Jeep,23757.0,Grand Cherokee,Good Deal,2017,Overland,37988.0,0,1,0,0,0,0,1,1,0,beige,8,5.7,0,0,1,0,0
other,False,Inventory Command Center,4.0,797,False,Brilliant Black,Gasoline,21.17585648,Jeep,36062.0,Grand Cherokee,Great Deal,2016,Laredo,24500.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
Chicago,False,HomeNet Automotive,,4,False,Granite,Gasoline,25.44555556,Jeep,31591.0,Grand Cherokee,Great Deal,2017,Limited,27930.0,0,1,0,0,0,0,1,1,0,beige,6,3.6,0,0,1,1,1
other,False,Inventory Command Center,4.0,172,False,Brilliant Black,Gasoline,13.9255787,Jeep,6777.0,Grand Cherokee,Good Deal,2016,Laredo,24500.0,0,1,0,0,0,0,1,0,0,black,,3.6,0,0,1,1,0
other,False,HomeNet Automotive,5.0,69,False,Brilliant Black,Gasoline,90.75177083,Jeep,27533.0,Grand Cherokee,Good Deal,2015,Altitude,28850.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,949,False,Brilliant Black,Gasoline,6.475868056,Jeep,35170.0,Grand Cherokee,Good Deal,2016,Summit,34988.0,0,1,0,0,0,0,1,0,0,other,6,3.6,0,0,1,1,0
other,False,HomeNet Automotive,,16,False,Diamond Black,Gasoline,75.78121528,Jeep,36045.0,Grand Cherokee,Fair Price,2017,Limited,27986.0,0,1,0,0,0,1,1,1,0,black,6,3.6,0,0,1,1,0
other,False,Jeep Certified Program,5.0,240,True,Silver,Gasoline,42.84938657,Jeep,21965.0,Grand Cherokee,Fair Price,2018,Summit,39493.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Inventory Command Center,5.0,2105,False,Diamond Black,Gasoline,5.578576389,Jeep,9715.0,Grand Cherokee,Good Deal,2017,Laredo,26924.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,14623,False,Brilliant Black,Gasoline,34.48302083,Jeep,33582.0,Grand Cherokee,Good Deal,2015,Limited,22999.0,0,1,0,0,0,1,1,1,0,beige,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,59,True,other,Gasoline,16.43116898,Cadillac,31468.0,XT5,Fair Price,2017,Premium Luxury,36888.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,0,0,0
other,False,Inventory Command Center,,19,False,White,E85 Flex Fuel,3.191342593,Jeep,28476.0,Grand Cherokee,Great Deal,2016,Laredo,26991.0,0,1,0,0,0,0,1,0,0,N/A,6,3.6,0,0,1,0,0
Battle Creek,False,Inventory Command Center,5.0,107,False,other,Gasoline,98.77287037,Jeep,36599.0,Grand Cherokee,Good Deal,2015,Overland,27950.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),,22,False,Bright White,Gasoline,5.493923611,Jeep,5448.0,Grand Cherokee,Fair Price,2018,SRT,57900.0,0,1,0,0,0,0,1,0,0,black,8,6.4,0,0,1,0,0
other,False,HomeNet Automotive,5.0,183,False,Billet Silver,Gasoline,88.36853009,Jeep,17758.0,Grand Cherokee,Good Deal,2017,Limited,30990.0,0,1,0,0,0,0,1,0,0,black,8,5.7,0,0,1,0,1
Chicago,False,Digital Motorworks (DMi),5.0,290,False,Gray,Gasoline,1.967800926,Jeep,48028.0,Grand Cherokee,Good Deal,2017,Limited,24900.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Jeep Certified Program,3.0,1583,True,Diamond Black,Gasoline,9.983680556,Jeep,17731.0,Grand Cherokee,Good Deal,2017,Altitude,31400.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,5.0,58,True,Radiant Silver,Gasoline,68.74991898,Cadillac,20748.0,XT5,Good Deal,2017,Luxury AWD,36995.0,0,0,1,0,0,0,1,1,0,black,6,3.6,0,1,0,0,1
other,False,Digital Motorworks (DMi),5.0,142,False,Dark Granite,Gasoline,130.8440394,Cadillac,29883.0,XT5,Great Deal,2017,Premium Luxury,35989.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,1,0,0,1
other,False,Digital Motorworks (DMi),4.0,165,False,Brilliant Black,Gasoline,13.99174769,Jeep,45320.0,Grand Cherokee,Good Deal,2015,Limited,24465.0,0,1,0,0,0,1,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Inventory Command Center,5.0,168,False,Diamond Black,Gasoline,76.64672454,Jeep,45749.0,Grand Cherokee,Fair Price,2017,Limited,31675.0,0,0,1,0,0,0,1,1,0,black,6,3.6,0,0,0,1,0
other,False,Digital Motorworks (DMi),4.0,25,False,Bright White,Gasoline,27.9612963,Jeep,5000.0,Grand Cherokee,,2018,Laredo,40185.0,1,0,0,0,0,1,0,1,1,black,6,3.6,0,0,1,0,0
other,False,Cadillac Certified Program,4.0,41,True,Silver,Gasoline,20.91561343,Cadillac,29686.0,XT5,Good Deal,2017,,42921.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,0,0,0
Battle Creek,False,Inventory Command Center,5.0,107,False,Granite,Gasoline,80.77016204,Jeep,25584.0,Grand Cherokee,Good Deal,2017,Limited,27995.0,0,1,0,0,0,0,0,0,1,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),5.0,556,False,Bright White,Gasoline,12.47306713,Jeep,26144.0,Grand Cherokee,Good Deal,2016,Limited,30975.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),4.0,155,True,Silver,Gasoline,290.4383796,Cadillac,16647.0,XT5,Good Deal,2018,Premium Luxury,39000.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,0,0,0
other,False,Digital Motorworks (DMi),4.0,1541,False,other,Gasoline,112.4778472,Jeep,31243.0,Grand Cherokee,Good Deal,2016,Limited,27000.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,1
other,False,Jeep Certified Program,5.0,1905,True,Silver,Gasoline,18.32291667,Jeep,22625.0,Grand Cherokee,Good Deal,2018,Trailhawk,35000.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),4.0,742,False,other,Gasoline,5.682858796,Cadillac,31719.0,XT5,Good Deal,2018,Premium Luxury,34995.0,0,1,0,0,0,0,1,1,0,cirrus,6,3.6,0,0,0,0,0
other,False,Jeep Certified Program,5.0,1233,True,Bright White,Gasoline,12.94819444,Jeep,33338.0,Grand Cherokee,Good Deal,2015,Limited,25500.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,4.0,727,False,Granite,Gasoline,35.62171296,Jeep,37151.0,Grand Cherokee,Good Deal,2015,Overland,28130.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),5.0,59,True,other,Gasoline,39.90903935,Cadillac,24241.0,XT5,Good Deal,2017,Luxury,32444.0,0,1,0,0,0,0,1,0,0,cirrus,6,3.6,0,0,0,0,1
other,False,Digital Motorworks (DMi),4.0,31,False,other,Gasoline,78.90797454,Cadillac,19146.0,XT5,Good Deal,2017,Luxury,32000.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,0,0,0,0
other,False,Digital Motorworks (DMi),4.0,1608,False,other,Gasoline,105.685544,Cadillac,32107.0,XT5,Good Deal,2017,Premium Luxury,34988.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,1,0,0,1
Chicago,False,Digital Motorworks (DMi),5.0,290,False,White,Gasoline,66.95341435,Jeep,38944.0,Grand Cherokee,Good Deal,2017,Laredo,23000.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),2.0,106,False,Stellar Black,Gasoline,174.7944907,Cadillac,8249.0,XT5,Good Deal,2018,Premium Luxury,37897.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,0,0,1
other,False,Inventory Command Center,4.0,343,False,True Blue,Gasoline,81.31501157,Jeep,25950.0,Grand Cherokee,Fair Price,2017,Limited,31765.0,0,0,1,0,0,0,1,0,0,beige,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),4.0,43,False,Stellar Black,Gasoline,16.42640046,Cadillac,32085.0,XT5,Good Deal,2017,Luxury,33990.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,1,0,0,1
Columbus,False,Digital Motorworks (DMi),5.0,401,False,Stellar Black,Gasoline,40.89752315,Cadillac,5022.0,XT5,Good Deal,2019,Luxury,44995.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,0,0,1
other,False,HomeNet Automotive,5.0,150,False,Bright White,Gasoline,54.65225694,Jeep,15194.0,Grand Cherokee,Good Deal,2018,Sterling Edition,34788.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),,23,False,Granite,Gasoline,61.99986111,Jeep,42213.0,Grand Cherokee,Good Deal,2015,Limited,24968.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,1
other,False,Digital Motorworks (DMi),,6,False,other,Gasoline,81.42707176,Cadillac,16930.0,XT5,Good Deal,2017,Platinum,47000.0,0,1,0,0,0,0,1,0,0,brown,6,3.6,0,1,0,0,0
other,False,Digital Motorworks (DMi),5.0,440,False,other,Gasoline,68.98590278,Jeep,27676.0,Grand Cherokee,Fair Price,2015,Overland,31995.0,0,1,0,0,0,0,1,0,0,beige,6,3.6,0,0,1,1,0
other,False,HomeNet Automotive,3.0,26,False,Diamond Black,Gasoline,109.5681713,Jeep,10688.0,Grand Cherokee,Good Deal,2017,Limited,31988.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,1,0
other,False,Jeep Certified Program,5.0,230,True,Velvet Red,Gasoline,74.76678241,Jeep,20221.0,Grand Cherokee,Great Deal,2018,Laredo E,29500.0,0,1,0,0,0,0,1,0,0,black,6,,0,0,1,1,0
other,False,Digital Motorworks (DMi),4.0,49,False,Velvet Red,Gasoline,0.483796296,Jeep,39125.0,Grand Cherokee,,2016,Limited,28998.0,0,0,0,0,0,0,0,0,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,240,False,other,Gasoline,7.849675926,Jeep,23317.0,Grand Cherokee,Good Deal,2018,Limited,32793.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),4.0,367,False,Gray,Gasoline,17.49340278,Jeep,48873.0,Grand Cherokee,Good Deal,2017,Limited,24702.0,0,1,0,0,0,0,1,1,0,N/A,6,3.6,0,0,1,0,0
other,False,HomeNet Automotive,,24,False,Billet Silver,Gasoline,25.83793981,Jeep,15399.0,Grand Cherokee,Great Deal,2018,Limited,34900.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,1,0,1
other,False,Inventory Command Center,5.0,380,False,Bright White,Gasoline,3.641481481,Jeep,8963.0,Grand Cherokee,Fair Price,2018,Altitude,34988.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),4.0,40,True,Radiant Silver,Gasoline,23.89244213,Cadillac,22504.0,XT5,Good Deal,2018,Luxury,36995.0,0,1,0,0,0,0,1,1,0,black,6,3.6,0,0,0,0,1
other,False,Inventory Command Center,5.0,652,False,Red,Gasoline,164.1894097,Jeep,43712.0,Grand Cherokee,Good Deal,2017,Laredo,24995.0,0,1,0,0,0,0,1,1,0,black,6,,0,0,1,0,0
other,False,Jeep Certified Program,5.0,628,True,Bright White,Gasoline,14.94543981,Jeep,21632.0,Grand Cherokee,Good Deal,2017,Altitude,30629.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Digital Motorworks (DMi),,12,False,Gray,Gasoline,18.79453704,Jeep,27631.0,Grand Cherokee,Good Deal,2015,Limited,25998.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
other,False,Jeep Certified Program,3.0,25,True,Brilliant Black,E85 Flex Fuel,15.00289352,Jeep,46723.0,Grand Cherokee,Good Deal,2015,Altitude,25299.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,1,0
other,False,Digital Motorworks (DMi),5.0,83,False,Red,E85 Flex Fuel,222.9321065,Jeep,46780.0,Grand Cherokee,Great Deal,2015,Laredo,19965.0,0,1,0,0,0,0,1,0,0,black,6,3.6,0,0,1,0,0
